latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-9.47187,159.98801,340.1,0.59,0.7,2020-03-04,02:00,N,nominal,1.0NRT,288.3,6.6,D
-3.94184,143.27423,339.6,0.43,0.38,2020-03-04,03:42,N,nominal,1.0NRT,291,22.2,D
-3.94241,143.27039,347.4,0.43,0.38,2020-03-04,03:42,N,nominal,1.0NRT,294.4,22.2,D
-2.85689,140.74678,326.3,0.55,0.43,2020-03-04,03:42,N,nominal,1.0NRT,288,2.9,D
-6.34006,147.7951,332.9,0.41,0.37,2020-03-04,03:42,N,nominal,1.0NRT,296.8,1.4,D
-8.03794,147.44905,334.5,0.39,0.36,2020-03-04,03:42,N,nominal,1.0NRT,284.8,3.9,D
-8.03637,147.44801,339,0.39,0.36,2020-03-04,03:42,N,nominal,1.0NRT,284.9,5,D
-8.0167,147.55399,333.7,0.39,0.36,2020-03-04,03:42,N,nominal,1.0NRT,290.3,3.4,D
-8.41173,141.51884,329.1,0.39,0.44,2020-03-04,03:42,N,nominal,1.0NRT,289.7,2.8,D
-7.51577,147.32956,344.8,0.39,0.36,2020-03-04,03:42,N,nominal,1.0NRT,285.5,4.8,D
-5.94203,151.10112,336.2,0.39,0.44,2020-03-04,03:42,N,nominal,1.0NRT,285.2,4.1,D
-6.36722,147.709,340.1,0.4,0.37,2020-03-04,03:42,N,nominal,1.0NRT,296.3,12,D
-5.66593,148.51997,338.6,0.43,0.38,2020-03-04,03:42,N,nominal,1.0NRT,291.2,5.2,D
-10.22801,150.57481,332.7,0.48,0.4,2020-03-04,03:42,N,nominal,1.0NRT,295.4,3,D
-10.08958,148.0052,339.3,0.39,0.36,2020-03-04,03:42,N,nominal,1.0NRT,295.2,3.4,D
-10.03208,148.24313,339,0.4,0.37,2020-03-04,03:42,N,nominal,1.0NRT,296.9,4,D
-9.9979,148.00851,332.7,0.39,0.36,2020-03-04,03:42,N,nominal,1.0NRT,302.1,4.6,D
-9.99556,147.95677,330.2,0.39,0.36,2020-03-04,03:42,N,nominal,1.0NRT,296.2,1.2,D
-9.89171,147.86305,333.5,0.39,0.36,2020-03-04,03:42,N,nominal,1.0NRT,296.7,4,D
-9.88891,147.85896,348.4,0.39,0.36,2020-03-04,03:42,N,nominal,1.0NRT,299.3,12.6,D
-9.33779,149.15041,330.2,0.43,0.38,2020-03-04,03:42,N,nominal,1.0NRT,296.9,2.8,D
-9.33554,149.14206,334.4,0.43,0.38,2020-03-04,03:42,N,nominal,1.0NRT,294.4,1.5,D
