latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
6.786546,101.542664,337.73,0.51,0.49,2019-04-01,0607,N,VIIRS,n,1,297.48,6.18,D,0
6.756046,101.252968,339.8,0.53,0.5,2019-04-01,0607,N,VIIRS,n,1,293.15,10.89,D,0
8.970131,99.516792,331.44,0.32,0.55,2019-04-01,0608,N,VIIRS,n,1,292.69,1.97,D,0
9.2621,99.00322,329.25,0.34,0.56,2019-04-01,0608,N,VIIRS,n,1,289.82,1.31,D,0
12.6415,99.812477,332.71,0.53,0.5,2019-04-01,0609,N,VIIRS,n,1,289.78,4.84,D,0
12.662174,99.873459,335.43,0.52,0.5,2019-04-01,0609,N,VIIRS,n,1,293.24,6.55,D,0
13.46272,102.066109,333.39,0.56,0.43,2019-04-01,0609,N,VIIRS,n,1,299.15,5.01,D,0
13.462844,102.068542,334.71,0.55,0.43,2019-04-01,0609,N,VIIRS,n,1,298.16,4.6,D,0
13.582224,102.086281,333.46,0.55,0.43,2019-04-01,0609,N,VIIRS,n,1,299.73,5.67,D,0
13.727436,101.899727,335.51,0.56,0.43,2019-04-01,0609,N,VIIRS,n,1,297.7,5.06,D,0
13.54308,100.784401,330.77,0.44,0.46,2019-04-01,0609,N,VIIRS,n,1,297.16,2.94,D,0
13.69639,101.311897,333.18,0.41,0.45,2019-04-01,0609,N,VIIRS,n,1,295.88,5.14,D,0
13.701138,101.314896,336.08,0.41,0.45,2019-04-01,0609,N,VIIRS,n,1,294.41,2.76,D,0
13.773113,101.560173,338.28,0.39,0.44,2019-04-01,0609,N,VIIRS,n,1,298.22,3.19,D,0
13.777133,101.559433,345.98,0.39,0.44,2019-04-01,0609,N,VIIRS,n,1,295.86,3.19,D,0
13.732291,101.093292,332.14,0.42,0.45,2019-04-01,0609,N,VIIRS,n,1,292.7,1.02,D,0
13.769727,101.278976,342.25,0.41,0.45,2019-04-01,0609,N,VIIRS,n,1,293.08,8.13,D,0
13.769058,101.275215,336.38,0.41,0.45,2019-04-01,0609,N,VIIRS,n,1,291.79,4.79,D,0
13.798888,101.419456,336.87,0.4,0.44,2019-04-01,0609,N,VIIRS,n,1,292.97,2.98,D,0
13.76711,100.802132,342.6,0.44,0.46,2019-04-01,0609,N,VIIRS,n,1,296.77,12.03,D,0
13.888061,101.072586,342.77,0.42,0.45,2019-04-01,0609,N,VIIRS,n,1,291.97,1.64,D,0
13.8922,101.071838,332.13,0.42,0.45,2019-04-01,0609,N,VIIRS,n,1,291.29,1.64,D,0
13.894593,100.963127,334.5,0.42,0.46,2019-04-01,0609,N,VIIRS,n,1,294.55,3.19,D,0
13.948678,101.090279,343.74,0.42,0.45,2019-04-01,0609,N,VIIRS,n,1,290.74,4.52,D,0
13.917964,100.725967,340.99,0.44,0.46,2019-04-01,0609,N,VIIRS,n,1,295.02,4.84,D,0
